Date,Code,Statut,Client,Téléphone,Adresse,Blanchisserie,Potentiel,Payé,Reste,Km (total),Nb legs,Legs (détails),Lien détail
22/12/2025 22:13,52A9517C,Terminée,Désiré Tongbé,0748643892,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Pressing Demo Plateau,1879,1057,822,17.89,2,return:done:1057FCFA:10.06km | pickup:done:822FCFA:7.83km,/orders/driver/orders/395/
12/12/2025 00:09,6D7E9266,Terminée,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4134,4134,0,45.71,2,return:canceled:2003FCFA:22.15km | pickup:canceled:2131FCFA:23.56km,/orders/driver/orders/389/
11/12/2025 21:52,BBC7C2BD,En attente,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4134,2067,2067,47.12,2,return:pending:2067FCFA:23.56km | pickup:done:2067FCFA:23.56km,/orders/driver/orders/382/
11/12/2025 19:33,34AB6664,Terminée,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",BLANCHISSERIE WALLET DEMO,2001,2001,0,12.14,2,return:done:1001FCFA:6.07km | pickup:done:1000FCFA:6.07km,/orders/driver/orders/380/
11/12/2025 19:16,E4D103E1,En attente,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4134,2067,2067,47.12,2,return:pending:2067FCFA:23.56km | pickup:done:2067FCFA:23.56km,/orders/driver/orders/378/
11/12/2025 17:26,849AE9F1,En attente,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4134,2050,2084,47.5,2,return:pending:2084FCFA:23.94km | pickup:done:2050FCFA:23.56km,/orders/driver/orders/375/
10/12/2025 13:58,4ACCB0C4,Terminée,BABa,0899999999,"Cocody Angré 8ème tranche, Abidjan, Côte d'Ivoire",BLANCHISSERIE WALLET DEMO,1497,1497,0,9.4,2,return:done:748FCFA:4.70km | pickup:done:748FCFA:4.70km,/orders/driver/orders/359/
10/12/2025 12:38,56992009,Terminée,Flore Aimée,0815151515,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4134,4134,0,54.02,2,return:done:2067FCFA:27.01km | pickup:done:2067FCFA:27.01km,/orders/driver/orders/357/
10/12/2025 11:57,242F28E1,En attente,biscuit chocolate,0788989999,"Riviera 3 l'ardoise, Abidjan, Côte d'Ivoire",BLANCHISSERIE WALLET DEMO,1289,0,1289,12.28,2,return:pending:645FCFA:6.14km | pickup:assigned:644FCFA:6.14km,/orders/driver/orders/356/
09/12/2025 20:40,FFF2154A,Terminée,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4948,4948,0,0.0,2,return:done:2474FCFA:0.00km | pickup:done:2474FCFA:0.00km,/orders/driver/orders/350/
09/12/2025 19:23,359F7E48,Terminée,DEZ,0115101010,"Cocody blockhaus, Abidjan, Côte d'Ivoire",Blanchisserie 2,6294,6294,0,0.0,2,return:done:3147FCFA:0.00km | pickup:done:3147FCFA:0.00km,/orders/driver/orders/349/
09/12/2025 12:22,3604532E,Terminée,TEST2,0110101010,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4948,4948,0,0.0,2,return:done:2474FCFA:0.00km | pickup:done:2474FCFA:0.00km,/orders/driver/orders/348/
08/12/2025 23:49,157C9FA8,Terminée,Blaise TITI,0798989898,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4948,4948,0,0.0,2,return:done:2474FCFA:0.00km | pickup:done:2474FCFA:0.00km,/orders/driver/orders/344/
02/12/2025 18:53,587D0BD3,En cours,Client MLM Check,0799999001,"Cocody CITÉ BNETD, Faya, Esai, Abidjan, Côte d'Ivoire",Blanchisserie 2,3544,3544,0,0.0,2,return:assigned:1772FCFA:0.00km | pickup:in_progress:1772FCFA:0.00km,/orders/driver/orders/340/
02/12/2025 09:40,659E044B,Terminée,Filleul 2 MLM,0799999002,"44 Rue le Clusia, Abidjan, Côte d'Ivoire",Blanchisserie 2,4132,4132,0,0.0,3,return:done:2066FCFA:0.00km | return:canceled:0FCFA:0.00km | pickup:done:2066FCFA:0.00km,/orders/driver/orders/338/
01/12/2025 21:34,758B8801,Terminée,Client MLM Check,0799999001,"Cocody CITÉ BNETD, Faya, Esai, Abidjan, Côte d'Ivoire",Blanchisserie 2,4122,0,4122,39.26,2,return:done:2061FCFA:19.63km | pickup:done:2061FCFA:19.63km,/orders/driver/orders/336/
